Giá,Khoảng giá min,Khoảng giá max,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Loại xe,Dung tích xe,Xuất xứ,Chênh lệch giá
38.5,32.75,38.45,Honda,Lead,2022,10000,Tay ga,100 - 175 cc,Việt Nam,5.700000000000003
8.6,6.68,7.84,Honda,Lead,2010,30000,Tay ga,100 - 175 cc,Việt Nam,1.1600000000000001
38.5,33.34,39.14,Honda,SH Mode,2017,18000,Tay ga,100 - 175 cc,Việt Nam,5.799999999999997
9.99,4.62,5.42,Yamaha,Mio,2008,9999,Tay ga,100 - 175 cc,Đang cập nhật,0.7999999999999998
25.0,10.08,11.83,Honda,Dream,2016,15000,Xe số,100 - 175 cc,Việt Nam,1.75
179.0,101.46,119.11,Honda,SH,2012,31000,Tay ga,100 - 175 cc,Nước khác,17.650000000000006
13.0,12.96,15.22,Honda,Future,2015,13000,Xe số,100 - 175 cc,Nhật Bản,2.26
48.0,41.9,49.18,Yamaha,Exciter,2010,111111,Tay côn/Moto,100 - 175 cc,Đang cập nhật,7.280000000000001
133.0,111.87,131.33,Honda,SH,2011,20000,Tay ga,100 - 175 cc,Nhật Bản,19.460000000000008
40.0,19.45,22.83,Honda,Spacy,2000,24000,Tay ga,100 - 175 cc,Nhật Bản,3.379999999999999
79.0,30.36,35.64,Honda,CBR,2013,33719,Tay côn/Moto,100 - 175 cc,Đang cập nhật,5.280000000000001
15.7,18.47,21.68,Honda,Vision,2018,26000,Tay ga,100 - 175 cc,Việt Nam,3.210000000000001
67.0,50.55,59.34,Honda,Click,2016,32000,Tay ga,100 - 175 cc,Thái Lan,8.790000000000006
4.8,5.84,6.85,Yamaha,Nouvo,2014,120000,Tay ga,100 - 175 cc,Nhật Bản,1.0099999999999998
10.8,8.99,10.56,Honda,Air Blade,2012,44000,Tay ga,100 - 175 cc,Việt Nam,1.5700000000000003
14.3,15.31,17.97,Honda,Lead,2014,10000,Tay ga,100 - 175 cc,Nhật Bản,2.6599999999999984
14.999999,13.83,16.24,Honda,Air Blade,2013,699999,Tay ga,100 - 175 cc,Nhật Bản,2.4099999999999984
36.0,29.92,35.13,Piaggio,Sprint,2016,16000,Tay ga,100 - 175 cc,Việt Nam,5.210000000000001
112.0,73.25,85.99,Honda,SH,2023,11000,Tay ga,Trên 175 cc,Thái Lan,12.739999999999995
16.8,14.57,17.1,Honda,Winner,2018,300000,Tay côn/Moto,100 - 175 cc,Việt Nam,2.530000000000001
60.0,55.2,64.8,Hãng khác,Dòng khác,2016,20000,Tay côn/Moto,Trên 175 cc,Hàn Quốc,9.599999999999994
13.3,8.7,10.21,Honda,Cub,2004,15000,Xe số,50 - 100 cc,Việt Nam,1.5100000000000016
6.5,7.98,9.37,Yamaha,Sirius,2016,10000,Xe số,100 - 175 cc,Việt Nam,1.3899999999999988
20.0,10.12,11.88,Honda,Dòng khác,2012,2345,Tay ga,Dưới 50 cc,Nhật Bản,1.7600000000000016
58.0,44.41,52.13,Honda,SH,2016,11246,Tay ga,100 - 175 cc,Đang cập nhật,7.720000000000006
82.0,16.31,19.14,Honda,Wave,2024,4984,Xe số,50 - 100 cc,Thái Lan,2.830000000000002
4.0,3.68,4.32,Hãng khác,Dòng khác,2004,189,Tay ga,100 - 175 cc,Đài Loan,0.6400000000000001
4.0,3.68,4.32,Hãng khác,Dòng khác,2004,189,Tay ga,100 - 175 cc,Đài Loan,0.6400000000000001
65.5,41.35,48.54,Honda,Vario,2018,30000,Tay ga,100 - 175 cc,Nước khác,7.189999999999998
270.0,14.53,17.05,Hãng khác,Hypermotard,2017,1867,Tay côn/Moto,Trên 175 cc,Thái Lan,2.5200000000000014
28.0,23.11,27.13,Honda,Sonic,2020,13000,Tay côn/Moto,100 - 175 cc,Nước khác,4.02
128.0,55.2,64.8,Honda,SH,2017,43000,Tay ga,Trên 175 cc,Nước khác,9.599999999999994
4.8,4.18,4.91,Yamaha,Nouvo,2011,45000,Tay ga,100 - 175 cc,Nhật Bản,0.7300000000000004
8.5,7.27,8.54,Honda,Wave,2007,0,Xe số,100 - 175 cc,Nhật Bản,1.2699999999999996
30.0,27.45,32.22,Honda,Lead,2020,27000,Tay ga,100 - 175 cc,Việt Nam,4.77
50.0,12.42,14.58,Honda,Dylan,2008,20000,Tay ga,100 - 175 cc,Nước khác,2.16
53.0,52.54,61.68,Honda,SH Mode,2023,99999,Tay ga,100 - 175 cc,Nhật Bản,9.14
20.5,14.62,17.16,Yamaha,Exciter,2016,45000,Tay côn/Moto,100 - 175 cc,Nước khác,2.540000000000001
53.0,47.9,56.24,Honda,SH Mode,2021,13000,Tay ga,100 - 175 cc,Việt Nam,8.340000000000003
8.5,6.68,7.84,Honda,Lead,2010,50000,Tay ga,100 - 175 cc,Việt Nam,1.1600000000000001
100.0,21.52,25.27,Honda,Spacy,2007,30000,Tay ga,100 - 175 cc,Nhật Bản,3.75
6.0,5.52,6.48,Hãng khác,Dòng khác,2019,6300,Xe số,Dưới 50 cc,Đang cập nhật,0.9600000000000009
16.5,7.62,8.94,Honda,Air Blade,2008,500000,Tay ga,100 - 175 cc,Thái Lan,1.3199999999999994
19.0,17.48,20.52,Hãng khác,Demon X 125cc,2020,15900,Xe số,100 - 175 cc,Thái Lan,3.039999999999999
67.0,55.2,64.8,Honda,SH,2017,30000,Tay ga,100 - 175 cc,Việt Nam,9.599999999999994
19.0,12.85,15.09,Honda,Wave,2025,2,Xe số,100 - 175 cc,Nhật Bản,2.24
89.0,31.06,36.46,Yamaha,R,2019,3000,Tay côn/Moto,Trên 175 cc,Nước khác,5.400000000000002
10.0,6.91,8.11,Honda,Air Blade,2007,70000,Tay ga,100 - 175 cc,Đang cập nhật,1.1999999999999993
14.9,14.1,16.55,Honda,Wave,2022,10999,Xe số,100 - 175 cc,Việt Nam,2.450000000000001
45.0,24.84,29.16,Honda,Spacy,2004,50000,Tay ga,100 - 175 cc,Nhật Bản,4.32
27.999999,17.59,20.65,Honda,Dòng khác,1997,99999,Tay côn/Moto,100 - 175 cc,Nhật Bản,3.0599999999999987
20.8,18.47,21.68,Honda,Vision,2018,12345,Tay ga,100 - 175 cc,Việt Nam,3.210000000000001
16.5,23.78,27.91,Yamaha,Dòng khác,2017,40000,Tay côn/Moto,100 - 175 cc,Nhật Bản,4.129999999999999
117.0,74.57,87.54,Honda,SH,2022,3500,Tay ga,Trên 175 cc,Thái Lan,12.970000000000013
26.0,23.96,28.12,Honda,Lead,2019,46000,Tay ga,100 - 175 cc,Việt Nam,4.16
40.8,34.12,40.05,Honda,Air Blade,2022,8100,Tay ga,100 - 175 cc,Việt Nam,5.93
168.5,111.87,131.33,Honda,SH,2011,16000,Tay ga,100 - 175 cc,Nước khác,19.460000000000008
66.8,73.25,85.99,Honda,SH,2023,4700,Tay ga,100 - 175 cc,Việt Nam,12.739999999999995
16.0,14.57,17.1,Honda,Winner,2018,60000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,2.530000000000001
49.0,36.19,42.49,Honda,Vario,2024,35000,Tay ga,100 - 175 cc,Đang cập nhật,6.300000000000004
75.0,8.02,9.42,Suzuki,Dòng khác,2010,50000,Tay côn/Moto,Trên 175 cc,Nhật Bản,1.4000000000000004
70.0,63.41,74.44,Yamaha,XSR,2024,1600,Tay côn/Moto,100 - 175 cc,Nước khác,11.030000000000001
18.0,15.31,17.97,Honda,Lead,2014,60000,Tay ga,100 - 175 cc,Đang cập nhật,2.6599999999999984
13.5,23.78,27.91,Yamaha,Dòng khác,2017,30000,Tay ga,100 - 175 cc,Nước khác,4.129999999999999
8.5,17.09,20.06,Yamaha,Exciter,2018,11000,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.969999999999999
23.888888,22.35,26.24,Honda,Air Blade,2018,30000,Tay ga,100 - 175 cc,Việt Nam,3.889999999999997
13.8,7.65,8.98,Honda,Wave,2013,405000,Xe số,50 - 100 cc,Nhật Bản,1.33
6.5,7.94,9.32,Honda,Wave,2014,10000,Xe số,100 - 175 cc,Việt Nam,1.38
10.0,8.6,10.1,Honda,Air Blade,2009,418989,Tay ga,100 - 175 cc,Nhật Bản,1.5
5.5,6.91,8.11,Honda,Air Blade,2007,50000,Tay ga,100 - 175 cc,Đang cập nhật,1.1999999999999993
189.0,101.46,119.11,Honda,SH,2012,20000,Tay ga,100 - 175 cc,Nước khác,17.650000000000006
33.0,30.1,35.33,Honda,SH Mode,2016,18000,Tay ga,100 - 175 cc,Việt Nam,5.229999999999997
26.9,17.45,20.48,Honda,Wave,2000,99999,Xe số,100 - 175 cc,Thái Lan,3.030000000000001
25.0,10.08,11.83,Honda,Dream,2016,19000,Xe số,100 - 175 cc,Thái Lan,1.75
85.0,76.82,90.18,Honda,ADV 160,2023,11000,Tay ga,100 - 175 cc,Đang cập nhật,13.360000000000014
8.6,6.1,7.16,Honda,Lead,2009,28961,Tay ga,100 - 175 cc,Nhật Bản,1.0600000000000005
35.0,72.21,84.76,Honda,CBR,2019,9577,Tay côn/Moto,100 - 175 cc,Nước khác,12.550000000000011
25.0,23.78,27.91,Honda,Air Blade,2019,30000,Tay ga,100 - 175 cc,Đang cập nhật,4.129999999999999
80.0,69.27,81.32,Honda,SH,2021,12000,Tay ga,100 - 175 cc,Việt Nam,12.049999999999997
9.5,6.58,7.72,Honda,Wave,2011,40000,Xe số,100 - 175 cc,Việt Nam,1.1399999999999997
6.0,9.14,10.73,Honda,Blade,2016,250,Xe số,50 - 100 cc,Thái Lan,1.5899999999999999
31.5,29.93,35.13,Honda,Air Blade,2020,30000,Tay ga,100 - 175 cc,Việt Nam,5.200000000000003
68.0,73.25,85.99,Honda,SH,2023,4400,Tay ga,100 - 175 cc,Việt Nam,12.739999999999995
3.7,4.18,4.9,Suzuki,Hayate,2012,1000,Tay ga,100 - 175 cc,Nhật Bản,0.7200000000000006
21.5,29.19,34.26,Honda,Future,2009,700000,Xe số,100 - 175 cc,Nhật Bản,5.069999999999997
72.0,58.13,68.25,Honda,SH,2018,15000,Tay ga,100 - 175 cc,Việt Nam,10.119999999999997
7.0,14.53,17.05,Honda,@,2001,70000,Xe số,100 - 175 cc,Trung Quốc,2.5200000000000014
5.5,4.01,4.71,Yamaha,Nouvo,2010,100000,Tay ga,100 - 175 cc,Nhật Bản,0.7000000000000002
20.8,15.19,17.83,Honda,Air Blade,2014,26000,Tay ga,100 - 175 cc,Nhật Bản,2.639999999999999
47.0,14.53,17.05,Hãng khác,Duke 250,2019,7000,Tay côn/Moto,Trên 175 cc,Đang cập nhật,2.5200000000000014
94.8,111.87,131.33,Honda,SH,2011,38000,Tay ga,100 - 175 cc,Việt Nam,19.460000000000008
25.0,10.08,11.83,Honda,Dream,2016,19000,Xe số,100 - 175 cc,Việt Nam,1.75
50.0,40.61,47.67,Honda,SH,2008,20000,Tay ga,100 - 175 cc,Đang cập nhật,7.060000000000002
38.8,36.71,43.1,Honda,Air Blade,2023,4600,Tay ga,100 - 175 cc,Việt Nam,6.390000000000001
8.5,8.5,9.98,Suzuki,Xbike,2012,10000,Xe số,100 - 175 cc,Nhật Bản,1.4800000000000004
17.0,14.57,17.1,Honda,Winner,2018,35000,Tay côn/Moto,100 - 175 cc,Nước khác,2.530000000000001
11.0,13.38,15.71,Honda,Winner,2017,50000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,2.33
12.0,5.98,7.02,Yamaha,Luvias,2011,1000,Tay ga,100 - 175 cc,Việt Nam,1.0399999999999991
4.5,6.62,7.78,SYM,EZ,2010,53993,Xe số,100 - 175 cc,Đài Loan,1.1600000000000001
39.8,43.1,50.6,Piaggio,Vespa,2019,30000,Tay ga,100 - 175 cc,Việt Nam,7.5
16.5,15.38,18.06,Honda,Lead,2015,48000,Tay ga,50 - 100 cc,Việt Nam,2.679999999999998
6.9,4.14,4.86,Piaggio,Zip,2008,32,Tay ga,100 - 175 cc,Đang cập nhật,0.7200000000000006
22.8,19.98,23.46,Honda,Air Blade,2016,18000,Tay ga,100 - 175 cc,Việt Nam,3.4800000000000004
38.5,35.93,42.18,Honda,SH Mode,2018,15000,Tay ga,100 - 175 cc,Việt Nam,6.25
18.5,16.53,19.41,Honda,Lead,2016,18000,Tay ga,100 - 175 cc,Việt Nam,2.879999999999999
49.5,49.35,57.93,Honda,SH Mode,2022,8800,Tay ga,100 - 175 cc,Việt Nam,8.579999999999998
19.5,15.9,18.67,Honda,Air Blade,2015,18000,Tay ga,100 - 175 cc,Việt Nam,2.7700000000000014
62.5,54.03,63.43,Honda,SH Mode,2024,5500,Tay ga,100 - 175 cc,Việt Nam,9.399999999999999
45.8,35.34,41.48,Honda,Vario,2023,9500,Tay ga,100 - 175 cc,Việt Nam,6.1399999999999935
28.5,26.0,30.52,Yamaha,PG-1,2024,3000,Xe số,100 - 175 cc,Việt Nam,4.52
35.3,32.11,37.7,Honda,Vario,2021,10000,Tay ga,100 - 175 cc,Việt Nam,5.590000000000003
5.5,7.79,9.15,Honda,Cub,1995,55000,Xe số,Dưới 50 cc,Đang cập nhật,1.3600000000000003
40.5,36.19,42.49,Honda,Vario,2024,1300,Tay ga,100 - 175 cc,Việt Nam,6.300000000000004
27.8,20.77,24.39,Honda,Future,2019,14234,Xe số,100 - 175 cc,Nhật Bản,3.620000000000001
11.5,10.54,12.37,Honda,Vision,2012,45000,Tay ga,100 - 175 cc,Việt Nam,1.83
16.5,14.62,17.16,Yamaha,Exciter,2016,200000,Tay côn/Moto,100 - 175 cc,Việt Nam,2.540000000000001
3.2,25.09,29.45,Honda,Future,2022,2500,Xe số,100 - 175 cc,Việt Nam,4.359999999999999
90.0,65.28,76.63,Honda,SH,2009,888888,Tay ga,100 - 175 cc,Nước khác,11.349999999999994
2.5,3.24,3.8,SYM,Attila,2010,100000,Tay ga,100 - 175 cc,Nước khác,0.5599999999999996
10.3,10.02,11.76,Honda,Air Blade,2011,82000,Tay ga,100 - 175 cc,Nhật Bản,1.7400000000000002
20.0,17.18,20.17,Yamaha,Janus,2022,24000,Tay ga,100 - 175 cc,Việt Nam,2.990000000000002
41.0,33.86,39.74,Honda,CG125Fi,2022,12000,Tay ga,100 - 175 cc,Việt Nam,5.880000000000003
18.0,25.66,30.12,Honda,Future,2010,15,Xe số,100 - 175 cc,Việt Nam,4.460000000000001
5.3,4.53,5.31,Yamaha,Taurus,2010,34017,Xe số,50 - 100 cc,Nhật Bản,0.7799999999999994
12.5,11.46,13.45,Honda,Future,2014,31000,Xe số,100 - 175 cc,Đang cập nhật,1.9899999999999984
7.0,7.86,9.22,Honda,Click,2011,50000,Tay ga,100 - 175 cc,Đang cập nhật,1.3600000000000003
26.8,21.87,25.67,Honda,Vision,2020,19000,Tay ga,100 - 175 cc,Việt Nam,3.8000000000000007
13.5,6.82,8.01,Honda,Wave,2008,123456,Xe số,100 - 175 cc,Nhật Bản,1.1899999999999995
18.3,13.83,16.24,Honda,Air Blade,2013,25000,Tay ga,100 - 175 cc,Việt Nam,2.4099999999999984
36.3,32.11,37.7,Honda,Vario,2021,21000,Tay ga,100 - 175 cc,Nước khác,5.590000000000003
79.0,98.4,115.51,Honda,SH,2010,140000,Tay ga,100 - 175 cc,Việt Nam,17.11
48.5,41.35,48.54,Honda,Vario,2018,15000,Tay ga,100 - 175 cc,Nước khác,7.189999999999998
12.6,15.9,18.67,Honda,Air Blade,2015,20000,Tay ga,100 - 175 cc,Nước khác,2.7700000000000014
9.2,8.6,10.1,Honda,Air Blade,2009,43000,Tay ga,100 - 175 cc,Việt Nam,1.5
45.5,42.81,50.25,Yamaha,Exciter,2006,10,Xe số,100 - 175 cc,Việt Nam,7.439999999999998
7.7,8.6,10.1,Honda,Air Blade,2009,39000,Tay ga,100 - 175 cc,Thái Lan,1.5
99.999999,75.76,88.93,Honda,SH,2024,14000,Tay ga,Trên 175 cc,Đang cập nhật,13.170000000000002
10.0,14.53,17.05,SYM,Wolf,2009,30000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,2.5200000000000014
15.0,13.34,15.66,Yamaha,Sirius,2023,21025,Xe số,100 - 175 cc,Nhật Bản,2.3200000000000003
61.0,52.54,61.68,Honda,SH Mode,2023,1185,Tay ga,100 - 175 cc,Nhật Bản,9.14
75.0,65.71,77.13,Honda,SH,2020,31000,Tay ga,100 - 175 cc,Nhật Bản,11.420000000000002
68.8,73.25,85.99,Honda,SH,2023,8122,Tay ga,100 - 175 cc,Nhật Bản,12.739999999999995
325.0,304.37,357.3,Hãng khác,48,2021,2236,Tay côn/Moto,Trên 175 cc,Nước khác,52.93000000000001
11.5,15.61,18.32,Honda,Dream,1999,18000,Xe số,50 - 100 cc,Nhật Bản,2.710000000000001
15.0,15.01,17.62,Hãng khác,Candy Hi,2021,10000,Tay ga,Dưới 50 cc,Đài Loan,2.610000000000001
5.8,4.62,5.42,Yamaha,Mio,2008,39000,Tay ga,100 - 175 cc,Thái Lan,0.7999999999999998
6.9,6.68,7.84,Honda,Lead,2010,39000,Tay ga,100 - 175 cc,Thái Lan,1.1600000000000001
9.8,11.03,12.95,Honda,Vision,2013,39000,Tay ga,100 - 175 cc,Thái Lan,1.92
8.5,6.88,8.07,Honda,Click,2008,54545,Tay ga,100 - 175 cc,Nhật Bản,1.1900000000000004
12.5,13.82,16.22,Yamaha,Exciter,2012,200000,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.3999999999999986
7.5,6.87,8.06,Honda,Wave,2012,94256,Xe số,100 - 175 cc,Việt Nam,1.1900000000000004
14.0,13.82,16.22,Yamaha,Exciter,2012,20000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,2.3999999999999986
4.9,3.72,4.37,Suzuki,Hayate,2010,39000,Tay ga,100 - 175 cc,Thái Lan,0.6499999999999999
6.9,8.6,10.1,Honda,Air Blade,2009,39000,Tay ga,100 - 175 cc,Thái Lan,1.5
7.9,8.74,10.26,Yamaha,Luvias,2014,39000,Tay ga,100 - 175 cc,Thái Lan,1.5199999999999996
3.5,3.82,4.48,SYM,Attila,2012,25000,Tay ga,100 - 175 cc,Đang cập nhật,0.6600000000000006
5.7,4.62,5.42,Yamaha,Mio,2008,39000,Tay ga,100 - 175 cc,Thái Lan,0.7999999999999998
10.5,6.69,7.85,Honda,Wave,2009,66666,Xe số,100 - 175 cc,Nhật Bản,1.1599999999999993
7.0,6.58,7.72,Honda,Wave,2011,45678,Xe số,100 - 175 cc,Nhật Bản,1.1399999999999997
8.49,8.99,10.56,Honda,Air Blade,2012,50000,Tay ga,100 - 175 cc,Việt Nam,1.5700000000000003
8.0,6.67,7.82,Yamaha,Nouvo,2017,660000,Tay ga,100 - 175 cc,Việt Nam,1.1500000000000004
25.8,26.31,30.89,Honda,Vision,2022,3300,Tay ga,100 - 175 cc,Việt Nam,4.580000000000002
30.0,29.62,34.78,Honda,Future,2024,3000,Xe số,100 - 175 cc,Việt Nam,5.16
8.9,7.31,8.58,Yamaha,Sirius,2012,19000,Xe số,100 - 175 cc,Đang cập nhật,1.2700000000000005
18.4,16.51,19.38,Honda,Winner X,2019,20,Tay côn/Moto,100 - 175 cc,Đang cập nhật,2.8699999999999974
6.7,6.06,7.11,Honda,Wave,2010,25000,Xe số,100 - 175 cc,Đang cập nhật,1.0500000000000007
6.5,7.35,8.63,Honda,Click,2010,25000,Tay ga,100 - 175 cc,Đang cập nhật,1.2800000000000011
5.7,6.06,7.11,Honda,Wave,2010,39000,Xe số,100 - 175 cc,Hàn Quốc,1.0500000000000007
50.0,36.71,43.1,Honda,Air Blade,2023,4000,Tay ga,100 - 175 cc,Việt Nam,6.390000000000001
7.5,6.09,7.15,Yamaha,Mio,2007,90000,Tay ga,100 - 175 cc,Nước khác,1.0600000000000005
179.0,111.87,131.33,Honda,SH,2011,19000,Tay ga,100 - 175 cc,Đang cập nhật,19.460000000000008
4.5,6.87,8.06,Honda,Wave,2012,18000,Xe số,100 - 175 cc,Nước khác,1.1900000000000004
11.0,9.73,11.42,Honda,Wave,2016,30000,Xe số,100 - 175 cc,Việt Nam,1.6899999999999995
72.0,73.25,85.99,Honda,SH,2023,8000,Tay ga,100 - 175 cc,Đang cập nhật,12.739999999999995
4.77,6.06,7.11,Honda,Wave,2010,15,Xe số,100 - 175 cc,Nhật Bản,1.0500000000000007
4.27,6.06,7.11,Honda,Wave,2010,15,Xe số,100 - 175 cc,Nhật Bản,1.0500000000000007
3.97,8.62,10.12,Honda,Dream,2010,15,Xe số,100 - 175 cc,Nhật Bản,1.5
6.5,7.62,8.94,Honda,Air Blade,2008,25000,Tay ga,100 - 175 cc,Đang cập nhật,1.3199999999999994
12.0,10.48,12.3,Honda,67,1998,9999,Tay côn/Moto,100 - 175 cc,Nhật Bản,1.8200000000000003
58.0,51.19,60.09,Yamaha,MT,2021,6068,Tay côn/Moto,100 - 175 cc,Thái Lan,8.900000000000006
55.9,25.66,30.12,Honda,Future,2010,19100,Xe số,100 - 175 cc,Việt Nam,4.460000000000001
9.5,13.83,16.24,Honda,Air Blade,2013,4587,Tay ga,100 - 175 cc,Việt Nam,2.4099999999999984
5.9,13.7,16.08,Honda,Dòng khác,2025,0,Xe số,100 - 175 cc,Việt Nam,2.379999999999999
25.999,24.45,28.7,Honda,Vision,2021,11100,Tay ga,100 - 175 cc,Việt Nam,4.25
13.5,11.68,13.71,Honda,Wave,2019,16,Xe số,100 - 175 cc,Đang cập nhật,2.030000000000001
30.0,26.9,31.58,Yamaha,Grande,2021,24000,Tay ga,100 - 175 cc,Việt Nam,4.68
1.234567,2.4,2.81,SYM,Attila,2005,50000,Tay ga,100 - 175 cc,Đài Loan,0.41000000000000014
30.0,24.61,28.89,Honda,Future,2011,60000,Xe số,100 - 175 cc,Nhật Bản,4.280000000000001
29.5,28.79,33.8,Yamaha,Exciter,2022,40000,Tay côn/Moto,100 - 175 cc,Việt Nam,5.009999999999998
45.0,8.99,10.56,Honda,Air Blade,2012,20000,Tay ga,100 - 175 cc,Thái Lan,1.5700000000000003
86.0,62.76,73.68,Honda,SH,2019,9000,Tay ga,100 - 175 cc,Đang cập nhật,10.920000000000009
21.5,19.01,22.32,Piaggio,Vespa,2014,27000,Tay ga,100 - 175 cc,Nước khác,3.3099999999999987
4.3,4.09,4.8,Hãng khác,Dòng khác,2005,965436,Xe số,100 - 175 cc,Hàn Quốc,0.71
1.5,6.82,8.01,Honda,Cub,trước năm 1980,9999,Xe số,Dưới 50 cc,Nhật Bản,1.1899999999999995
10.5,2.56,3.0,Hãng khác,Dòng khác,1997,5000,Tay côn/Moto,100 - 175 cc,Hàn Quốc,0.43999999999999995
10.5,10.02,11.76,Honda,Air Blade,2011,500000,Tay ga,100 - 175 cc,Nhật Bản,1.7400000000000002
20.0,23.44,27.51,Honda,Winner X,2022,18000,Tay côn/Moto,100 - 175 cc,Việt Nam,4.07
15.0,4.85,5.69,Honda,Cub,1990,10000,Xe số,50 - 100 cc,Nhật Bản,0.8400000000000007
8.9,8.35,9.81,Yamaha,Sirius,2017,21345,Xe số,100 - 175 cc,Việt Nam,1.4600000000000009
6.0,5.81,6.82,Honda,Lead,2008,0,Tay ga,100 - 175 cc,Nước khác,1.0100000000000007
15.0,14.51,17.04,Yamaha,Exciter,2013,60000,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.5299999999999994
3.5,14.53,17.05,Hãng khác,Kawasaki,2007,50000,Xe số,100 - 175 cc,Nhật Bản,2.5200000000000014
15.0,35.74,41.95,Honda,Dòng khác,1998,99999,Tay côn/Moto,100 - 175 cc,Thái Lan,6.210000000000001
10.5,8.99,10.56,Honda,Air Blade,2012,20000,Tay ga,100 - 175 cc,Nhật Bản,1.5700000000000003
23.0,19.98,23.46,Honda,Air Blade,2016,46000,Tay ga,100 - 175 cc,Việt Nam,3.4800000000000004
11.6,8.62,10.12,Honda,Dream,2010,2000,Xe số,50 - 100 cc,Nhật Bản,1.5
15.0,10.55,12.38,Honda,Wave,2002,100000,Xe số,50 - 100 cc,Việt Nam,1.83
26.0,19.98,23.46,Honda,Air Blade,2016,44338,Tay ga,100 - 175 cc,Đang cập nhật,3.4800000000000004
34.9,11.13,13.07,Hãng khác,Dòng khác,2023,10000,Tay ga,Trên 175 cc,Việt Nam,1.9399999999999995
22.5,17.83,20.93,Honda,Winner X,2021,12345,Tay côn/Moto,100 - 175 cc,Việt Nam,3.1000000000000014
55.0,44.98,52.8,Honda,SH,2013,44000,Tay ga,100 - 175 cc,Việt Nam,7.82
16.5,13.86,16.27,Yamaha,Exciter,2014,7500,Tay côn/Moto,100 - 175 cc,Việt Nam,2.41
135.0,98.4,115.51,Honda,SH,2010,17000,Tay ga,100 - 175 cc,Đang cập nhật,17.11
28.0,17.08,20.05,Honda,Winner X,2020,17000,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.9700000000000024
18.0,7.53,8.84,Honda,Cub,2009,29999,Xe số,Dưới 50 cc,Nhật Bản,1.3099999999999996
30.0,24.09,28.27,Suzuki,Satria,2022,11000,Tay côn/Moto,100 - 175 cc,Nước khác,4.18
14.0,12.56,14.75,Hãng khác,Dòng khác,2024,0,Tay ga,Dưới 50 cc,Đang cập nhật,2.1899999999999995
25.9,26.52,31.13,Suzuki,GSX,2019,26500,Tay côn/Moto,100 - 175 cc,Đang cập nhật,4.609999999999999
40.0,25.36,29.77,Yamaha,Dòng khác,2022,3500,Tay côn/Moto,100 - 175 cc,Đang cập nhật,4.41
145.0,98.4,115.51,Honda,SH,2010,14000,Tay ga,100 - 175 cc,Đang cập nhật,17.11
70.0,55.2,64.8,Honda,SH,2017,43955,Tay ga,100 - 175 cc,Việt Nam,9.599999999999994
28.0,23.44,27.51,Honda,Winner X,2022,1389,Tay côn/Moto,100 - 175 cc,Đang cập nhật,4.07
5.0,3.55,4.17,Hãng khác,Dòng khác,2010,76000,Tay ga,50 - 100 cc,Nước khác,0.6200000000000001
71.0,58.13,68.25,Honda,SH,2018,125000,Tay ga,100 - 175 cc,Việt Nam,10.119999999999997
13.8,13.85,16.26,Yamaha,Janus,2018,39000,Tay ga,100 - 175 cc,Việt Nam,2.410000000000002
11.0,6.82,8.01,Honda,Wave,2008,74000,Xe số,100 - 175 cc,Nhật Bản,1.1899999999999995
23.5,20.71,24.32,Honda,Air Blade,2017,35000,Tay ga,100 - 175 cc,Đang cập nhật,3.6099999999999994
13.0,13.38,15.71,Honda,Winner,2017,1,Tay côn/Moto,100 - 175 cc,Việt Nam,2.33
33.0,25.59,30.04,Yamaha,Freego,2025,0,Tay ga,100 - 175 cc,Việt Nam,4.449999999999999
10.0,7.65,8.98,Honda,Wave,2013,23000,Xe số,50 - 100 cc,Việt Nam,1.33
32.0,29.9,35.1,Honda,Vision,2024,10000,Tay ga,Không biết rõ,Nhật Bản,5.200000000000003
109.0,30.13,35.37,Yamaha,Dòng khác,2016,10000,Xe số,100 - 175 cc,Nhật Bản,5.239999999999998
75.0,69.0,81.0,Yamaha,Dòng khác,1995,99999,Tay côn/Moto,50 - 100 cc,Nước khác,12.0
135.0,111.87,131.33,Honda,SH,2011,9999,Tay ga,100 - 175 cc,Nước khác,19.460000000000008
25.0,19.92,23.38,Yamaha,Exciter,2019,0,Tay côn/Moto,100 - 175 cc,Nước khác,3.4599999999999973
4.0,9.09,10.66,Yamaha,Dòng khác,2012,35000,Tay ga,100 - 175 cc,Nhật Bản,1.5700000000000003
70.0,32.02,37.58,Honda,CB,2005,200000,Tay côn/Moto,Trên 175 cc,Nhật Bản,5.559999999999995
29.499999,35.7,41.9,Piaggio,Vespa,2017,23000,Tay ga,100 - 175 cc,Đang cập nhật,6.199999999999996
13.0,16.04,18.83,Honda,Winner,2019,21648,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.789999999999999
12.5,13.94,16.37,Honda,Future,2001,45000,Xe số,100 - 175 cc,Thái Lan,2.4300000000000015
