Giá,Khoảng giá min,Khoảng giá max,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Loại xe,Dung tích xe,Xuất xứ,Chênh lệch giá
40.0,37.85,44.43,Honda,Air Blade,2024,1000,Tay ga,100 - 175 cc,Việt Nam,6.579999999999998
6.8,6.58,7.72,Honda,Wave,2011,23015,Xe số,100 - 175 cc,Việt Nam,1.1399999999999997
8.5,6.68,7.84,Honda,Lead,2010,92000,Tay ga,100 - 175 cc,Việt Nam,1.1600000000000001
120.0,14.53,17.05,Hãng khác,Interceptor 650,2019,11500,Tay côn/Moto,Trên 175 cc,Đang cập nhật,2.5200000000000014
12.9,12.59,14.78,Honda,Air Blade,2010,9999,Tay ga,100 - 175 cc,Nhật Bản,2.1899999999999995
17.0,12.56,14.75,Hãng khác,Dòng khác,2024,8000,Xe số,50 - 100 cc,Việt Nam,2.1899999999999995
72.0,62.76,73.68,Honda,SH,2019,35000,Tay ga,100 - 175 cc,Việt Nam,10.920000000000009
106.0,14.53,17.05,Honda,Rebel,1986,50000,Tay côn/Moto,Trên 175 cc,Đang cập nhật,2.5200000000000014
39.0,36.71,43.1,Honda,Air Blade,2023,11000,Tay ga,100 - 175 cc,Việt Nam,6.390000000000001
0.00037,361.56,424.44,Hãng khác,Triumph Bonneville T100,2024,8900,Tay côn/Moto,Trên 175 cc,Nước khác,62.879999999999995
26.0,19.35,22.71,Yamaha,Janus,2024,2400,Tay ga,100 - 175 cc,Đang cập nhật,3.3599999999999994
9.2,7.2,8.45,Honda,Cub,1998,12000,Xe số,Dưới 50 cc,Nhật Bản,1.2499999999999991
1e-06,30.13,35.37,Honda,Vario,2019,81000,Tay ga,100 - 175 cc,Nước khác,5.239999999999998
7.3,6.12,7.18,Yamaha,Sirius,2010,40000,Xe số,100 - 175 cc,Việt Nam,1.0599999999999996
16.555555,14.27,16.76,Honda,Wave,2023,5062,Xe số,100 - 175 cc,Việt Nam,2.490000000000002
3.0,2.7,3.17,SYM,Attila,2007,10000,Tay ga,50 - 100 cc,Việt Nam,0.46999999999999975
28.0,10.63,12.48,Hãng khác,Dòng khác,2022,30,Tay côn/Moto,50 - 100 cc,Việt Nam,1.8499999999999996
27.0,17.09,20.06,Yamaha,Exciter,2018,26264,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.969999999999999
22.9,12.59,14.78,Honda,Air Blade,2010,12779,Tay ga,100 - 175 cc,Thái Lan,2.1899999999999995
9.2,10.39,12.2,Honda,Wave,2018,25,Xe số,100 - 175 cc,Đang cập nhật,1.8099999999999987
11.0,8.23,9.66,Honda,Cub,1997,12000,Xe số,Dưới 50 cc,Nhật Bản,1.4299999999999997
35.5,23.67,27.79,Honda,SH,2005,49000,Tay ga,100 - 175 cc,Nước khác,4.119999999999997
9.0,6.74,7.91,Piaggio,Vespa,2011,11000,Tay ga,100 - 175 cc,Việt Nam,1.17
8.0,7.27,8.54,Honda,Wave,2007,45000,Xe số,100 - 175 cc,Nhật Bản,1.2699999999999996
27.5,27.45,32.22,Honda,Lead,2020,20000,Tay ga,100 - 175 cc,Đang cập nhật,4.77
39.0,35.87,42.11,Honda,Lead,2023,15000,Tay ga,100 - 175 cc,Việt Nam,6.240000000000002
18.0,78.55,92.21,Honda,SH,2025,100000,Tay ga,100 - 175 cc,Nhật Bản,13.659999999999997
29.5,27.45,32.22,Honda,Lead,2020,180000,Tay ga,100 - 175 cc,Việt Nam,4.77
26.5,23.33,27.39,Honda,Future,2021,21000,Xe số,100 - 175 cc,Việt Nam,4.060000000000002
17.0,14.1,16.55,Honda,Wave,2022,40000,Xe số,100 - 175 cc,Việt Nam,2.450000000000001
16.0,12.56,14.75,Hãng khác,Dòng khác,2024,800,Tay ga,Dưới 50 cc,Đài Loan,2.1899999999999995
8.6,9.83,11.54,Honda,Wave,2017,25,Xe số,100 - 175 cc,Nhật Bản,1.709999999999999
75.0,65.71,77.13,Honda,SH,2020,49530,Tay ga,100 - 175 cc,Việt Nam,11.420000000000002
9.5,6.93,8.14,Honda,Wave,2006,666666,Xe số,50 - 100 cc,Nhật Bản,1.2100000000000009
4.0,28.55,33.51,Yamaha,Exciter,2023,40000,Tay côn/Moto,100 - 175 cc,Việt Nam,4.959999999999997
2.5,4.32,5.07,SYM,Elizabeth,2013,100000,Tay ga,100 - 175 cc,Nhật Bản,0.75
17.0,12.85,15.09,Honda,Wave,2025,30,Xe số,100 - 175 cc,Nhật Bản,2.24
26.0,12.7,14.9,Piaggio,GTS,2009,50000,Tay ga,100 - 175 cc,Nước khác,2.200000000000001
5.5,10.68,12.54,Honda,Wave,2005,15381,Xe số,50 - 100 cc,Việt Nam,1.8599999999999994
13.4,10.39,12.2,Honda,Wave,2018,39000,Xe số,50 - 100 cc,Nhật Bản,1.8099999999999987
15.0,118.87,139.54,Suzuki,Sport / Xipo,1998,15000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,20.669999999999987
16.5,16.51,19.38,Honda,Winner X,2019,44000,Tay côn/Moto,100 - 175 cc,Việt Nam,2.8699999999999974
45.0,33.2,38.97,Honda,SH,2007,71000,Tay ga,100 - 175 cc,Nước khác,5.769999999999996
17.5,14.98,17.58,Piaggio,Liberty,2016,30000,Tay ga,100 - 175 cc,Đang cập nhật,2.599999999999998
15.8,16.03,18.82,Honda,PCX,2011,25000,Tay ga,100 - 175 cc,Thái Lan,2.789999999999999
4.9,6.16,7.24,SYM,Venus,2014,32668,Tay ga,100 - 175 cc,Đài Loan,1.08
11.1,3.91,4.59,Hãng khác,Dòng khác,2001,50000,Xe số,100 - 175 cc,Việt Nam,0.6799999999999997
74.5,73.25,85.99,Honda,SH,2023,10605,Tay ga,100 - 175 cc,Việt Nam,12.739999999999995
19.999999,23.11,27.13,Honda,Sonic,2020,47744,Tay côn/Moto,100 - 175 cc,Nước khác,4.02
16.5,16.53,19.4,Honda,PCX,2010,100000,Tay ga,100 - 175 cc,Thái Lan,2.8699999999999974
10.5,9.2,10.8,Honda,Dòng khác,2005,7000,Tay ga,Dưới 50 cc,Nhật Bản,1.6000000000000014
2.6,10.02,11.76,Honda,Air Blade,2011,23,Tay ga,100 - 175 cc,Việt Nam,1.7400000000000002
33.0,28.79,33.8,Yamaha,Exciter,2022,280000,Tay côn/Moto,100 - 175 cc,Việt Nam,5.009999999999998
13.5,9.61,11.28,Honda,Dream,2000,12000,Xe số,50 - 100 cc,Nhật Bản,1.67
12.0,3.91,4.59,Hãng khác,Dòng khác,2001,150000,Xe số,100 - 175 cc,Việt Nam,0.6799999999999997
5.3,7.2,8.45,Honda,Cub,1998,12000,Xe số,Dưới 50 cc,Nhật Bản,1.2499999999999991
9.0,6.82,8.01,Honda,Wave,2008,62000,Xe số,50 - 100 cc,Việt Nam,1.1899999999999995
8.5,6.68,7.84,Honda,Lead,2010,40000,Tay ga,100 - 175 cc,Việt Nam,1.1600000000000001
8.5,6.68,7.84,Honda,Lead,2010,30000,Tay ga,100 - 175 cc,Nhật Bản,1.1600000000000001
7.5,6.14,7.21,Honda,Chaly,trước năm 1980,19000,Xe số,Dưới 50 cc,Nhật Bản,1.0700000000000003
9.7,8.23,9.66,Honda,Cub,1997,12000,Xe số,Dưới 50 cc,Nhật Bản,1.4299999999999997
38.0,58.13,68.25,Honda,SH,2018,29000,Tay ga,100 - 175 cc,Việt Nam,10.119999999999997
20.5,25.66,30.12,Honda,Future,2010,60000,Xe số,100 - 175 cc,Việt Nam,4.460000000000001
17.0,16.16,18.97,Yamaha,Exciter,2015,65,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.8099999999999987
9.5,14.53,17.05,Suzuki,Dòng khác,1998,500,Tay côn/Moto,100 - 175 cc,Nước khác,2.5200000000000014
7.3,7.12,8.36,Suzuki,Impulse,2016,36688,Tay ga,100 - 175 cc,Nhật Bản,1.2399999999999993
37.0,14.53,17.05,Hãng khác,Duke 200,2022,229000,Tay côn/Moto,Trên 175 cc,Nước khác,2.5200000000000014
31.0,26.31,30.89,Honda,Vision,2022,12000,Tay ga,100 - 175 cc,Đang cập nhật,4.580000000000002
50.0,10.12,11.88,Honda,Dòng khác,2012,8850,Tay côn/Moto,Trên 175 cc,Nhật Bản,1.7600000000000016
25.0,21.39,25.11,Hãng khác,Dòng khác,trước năm 1980,100,Tay ga,Không biết rõ,Nước khác,3.719999999999999
30.0,21.39,25.11,Hãng khác,Dòng khác,trước năm 1980,50,Tay ga,Dưới 50 cc,Nước khác,3.719999999999999
24.0,23.96,28.12,Honda,Lead,2019,53000,Tay ga,100 - 175 cc,Đang cập nhật,4.16
35.0,14.53,17.05,Hãng khác,Duke 200,2022,23000,Tay côn/Moto,Trên 175 cc,Nước khác,2.5200000000000014
12.0,20.71,24.32,Honda,Air Blade,2017,82288,Tay ga,100 - 175 cc,Đang cập nhật,3.6099999999999994
18.0,16.16,18.97,Yamaha,Exciter,2015,28500,Tay côn/Moto,100 - 175 cc,Việt Nam,2.8099999999999987
6.5,5.1,5.98,Yamaha,Nouvo,2012,9435,Tay ga,100 - 175 cc,Nhật Bản,0.8800000000000008
35.0,101.46,119.11,Honda,SH,2012,90000,Tay ga,100 - 175 cc,Nhật Bản,17.650000000000006
55.0,43.1,50.6,Piaggio,Vespa,2019,12000,Tay ga,100 - 175 cc,Nước khác,7.5
20.0,32.11,37.7,Honda,Vario,2021,10000,Tay ga,100 - 175 cc,Việt Nam,5.590000000000003
12.0,8.99,10.56,Honda,Air Blade,2012,120000,Tay ga,100 - 175 cc,Đang cập nhật,1.5700000000000003
7.9,7.65,8.98,Honda,Wave,2013,500000,Xe số,100 - 175 cc,Đang cập nhật,1.33
9.0,6.14,7.21,Yamaha,Nouvo,2013,267890,Tay ga,100 - 175 cc,Nước khác,1.0700000000000003
29.0,8.99,10.55,Hãng khác,Dòng khác,2019,2216,Tay côn/Moto,100 - 175 cc,Việt Nam,1.5600000000000005
11.5,8.99,10.56,Honda,Air Blade,2012,10000,Tay ga,100 - 175 cc,Nhật Bản,1.5700000000000003
11.0,7.98,9.37,Honda,Lead,2012,49,Tay ga,100 - 175 cc,Đang cập nhật,1.3899999999999988
29.0,8.99,10.55,Hãng khác,Dòng khác,2019,2216,Tay côn/Moto,100 - 175 cc,Việt Nam,1.5600000000000005
14.5,10.55,12.38,Honda,Wave,2002,100000,Xe số,50 - 100 cc,Việt Nam,1.83
48.5,38.21,44.86,Piaggio,Vespa,2018,16000,Tay ga,100 - 175 cc,Việt Nam,6.649999999999999
17.8,16.92,19.86,Honda,Vision,2017,55000,Tay ga,100 - 175 cc,Việt Nam,2.9399999999999977
9.0,10.02,11.76,Honda,Air Blade,2011,21706,Tay ga,100 - 175 cc,Đang cập nhật,1.7400000000000002
39.5,36.48,42.83,Honda,SH,2014,12345,Tay ga,100 - 175 cc,Việt Nam,6.350000000000001
33.3,27.64,32.44,Honda,Winner X,2024,6000,Tay côn/Moto,100 - 175 cc,Việt Nam,4.799999999999997
